Tweet_ID,Root_Tweet_ID,Conversation_ID,In_Reply_To_Tweet_ID,Waktu_Posting,Username,Teks_Komentar,Jumlah_Likes,Jumlah_Retweet,Sumber_Akuisisi,Hierarki_Komentar,Display_Name,Followers_Count,Bahasa,Jumlah_Reply,Jumlah_Quote,Jumlah_View,Keyword_Matched,URL
2097606953262628874,2097606953262628874,2097606953262628874,,2026-09-09T08:44:03+00:00,Djadmika1,"Anak-anak sekolah keracunan massal karena “makan bergizi gratis”.
Pemerintah: “Kami sudah tutup hampir 2.000 dapur yang bermasalah.”

Nah, yang belum ketutup kapan?
Atau tunggu dulu ada yang meninggal baru serius?",2,1,KEYWORD_SEARCH,Root_Tweet,Maziko,4215,in,1,0,90,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/Djadmika1/status/2097606953262628874
2097605959363510587,2097605959363510587,2097605959363510587,,2026-09-09T08:40:07+00:00,ELPutra555,Yang ditakutkandr program mbg dri dulu itu Dapur disabotase dan para mitra g siap,0,0,KEYWORD_SEARCH,Root_Tweet,ELPutra,6,in,0,0,2,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/ELPutra555/status/2097605959363510587
2097605139922309360,2097605139922309360,2097605139922309360,,2026-09-09T08:36:51+00:00,distriknewscom,"Ratusan siswa dari SMPN 1 Gembong dan MTsN 3 Pati, Jawa Tengah, dilarikan ke RSUD akibat diduga keracunan setelah menyantap makanan dari program Makan Bergizi Gratis (MBG) siang ini.

Kejadian ini kembali memunculkan kekhawatiran masyarakat, ""Mau sampai kapan program ini membahayakan anak-anak?"" 

Kasus ini menambah daftar panjang masalah dalam pelaksanaan program MBG.

#InfoPati #BeritaPati #KeracunanMassal #ProgramMBG #MakanBergiziGratis",0,0,KEYWORD_SEARCH,Root_Tweet,DISTRIK NEWS | PT DISTRIK MEDIA GROUP,90,in,0,0,23,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/distriknewscom/status/2097605139922309360
2097605054303994235,2097605054303994235,2097605054303994235,,2026-09-09T08:36:31+00:00,MicksMarzuq,Prabowo menghancurkan generasi bangsa dengan program MBG yang dibanggakannya,0,0,KEYWORD_SEARCH,Root_Tweet,🅼🅸🅲🅺🆂 🅼🅰🆁🆉🆄🆀 #Sudah Booster,315,in,0,0,4,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/MicksMarzuq/status/2097605054303994235
2097604928688493010,2097604928688493010,2097604928688493010,,2026-09-09T08:36:01+00:00,NapiPKS,"*BERITA TERKINI* 

Beruntungnya yang sudah berusia di atas 60 tahun, pengalihan program MBG yg dihentikan sementara ke santunan Pra-lansia.

BANTUAN PRA-LANSIA PROGRAM PEMERINTAH YG BARU UNTUK SELURUH MASYARAKAT PEMEGANG BPJS YANG BERUMUR DI ATAS 60 TAHUN (Katagori Pra Lansia ke atas)

Sesuai dengan Keppres No. 212/Keppres/RIVI/2026, bahwa semua warga masyarakat yang sudah berusia di atas 60 tahun, akan menerima Tunjangan Lansia, langsung masuk rekening sebesar
Rp 3.000.000,- per bulannya per Kartu Keluarga (KK) *dengan tujuan untuk memenuhi kebutuhan sehari-hari para Pra-Lansia sehingga tidak memberatkan kehidupan anak-anaknya*

*SYARAT²:*
1. Fotokopi KK
2. Fotokopi Kartu ATM / Buku Rekening
3. Fotokopi KTP Kepala Keluarga
4. Masing-masing rangkap 2.
5. Pendaftaran melalui bank terdekat sesuai Buku Rekening yang dimiliki. (BRI, MANDIRI, BNI, BPD, BCA, BUKOPIN, dll )
6. Bila data sudah teregistrasi maka akan dicairkan pada awal bulan berikutnya dan dikirimkan notifikasi bahwa dana telah masuk.
7. Dana yang sudah ditransfer ke rekening dapat dicairkan langsung.

Program ini mulai dilaksanakan per
1 Agustus 2026

Hal ini merupakan komitmen terbaru dari Menteri Keuangan, diperkuat oleh Pernyataan  Presiden  di hadapan semua Kepala Daerah se-Indonesia.

Selain itu, beliau juga mempertegas akan memperbarui APBN 2026  untuk direvisi memberikan ""Bantuan Langsung"" kepada masyarakat yang memasuki Usia Lanjut. 

Ternyata benar, rezeki itu datangnya tak diduga-duga.

Mari kita semua senantiasa bersyukur dan berterima kasih.

Dalam pelajaran Bahasa Indonesia, _tulisan di atas dapat digolongkan dalam_ :

*A. Ngelindur*
*B. Cerita mimpi*
*C. Cerita khayal*
*D. Kesambet*
*E. Semua jawaban benar*

Pilihlah jawaban yang kamu anggap paling benar !!!

*Selamat mengerjakan*
*Maaf .., saya sendiri tadi serius baca jadi saya copas*...🙏🏻😂",1,0,KEYWORD_SEARCH,Root_Tweet,HN_5KS,8281,in,0,0,59,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/NapiPKS/status/2097604928688493010
2097600594114662406,2097600594114662406,2097600594114662406,,2026-09-09T08:18:47+00:00,ArusPolitik_,"Ayooo Sekolah Lain ""Tolak MBG"" Jangan Korbankan Anak Didik Kalian Dengan Makan Beracun Gratis!

Takut Murid Keracunan, Sekolah SD Negeri di Riau Kompak Tolak MBG

Penolakan massal program Makan Bergizi Gratis (MBG) oleh sejumlah Sekolah Dasar (SD) Negeri di Riau dipicu oleh kekhawatiran mendalam terhadap keamanan pangan setelah munculnya aroma busuk pada menu makanan serta rentetan kasus keracunan siswa di wilayah tersebut.",26,3,KEYWORD_SEARCH,Root_Tweet,A P,90351,in,3,0,468,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/ArusPolitik_/status/2097600594114662406
2097597813530259536,2097597813530259536,2097597813530259536,,2026-09-09T08:07:44+00:00,pikiran_rakyat,"DPR Minta BGN Serius Tangani Kasus Keracunan MBG di Karo, Minta Biaya Pengobatan Ditanggung
.....

Wakil Ketua DPR RI Saan Mustopa meminta, Badan Gizi Nasional (BGN) serius menangani kasus dugaan keracunan Makan Bergizi Gratis (MBG) di Kabupaten Karo yang menyebabkan salah satu siswa hilang ingatan.
.
""Kita minta dari BGN bahkan dari instansi-instansi yang terkait untuk bisa menangani mereka secara serius ya, mereka secara serius dan sungguh-sungguh agar dampak dari keracunan MBG itu, itu anaknya bisa segera pulih kembali ya, secara kesehatan dan juga yang lainnya,"" kata Saan, di Kompleks Parlemen, Senayan, Jakarta, Rabu, 9 September 2026. 
.
""Jadi sekali lagi kami meminta agar ditangani secara serius karena ini sudah pada level yang cukup memprihatinkan ya. Ini penting untuk segera ditangani,"" sambungnya. 
.
Lebih lanjut, Saan meminta, agar BGN menanggung seluruh biaya pengobatan siswa yang tengah menjalani perawatan efek keracunan MBG. 
.
Alma Fikhasari/PRMN
.
#BGN #MBG #DPR",0,0,KEYWORD_SEARCH,Root_Tweet,Pikiran Rakyat,402512,in,0,1,299,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/pikiran_rakyat/status/2097597813530259536
2097293363682906264,2097293363682906264,2097293363682906264,,2026-09-08T11:57:58+00:00,Kosimatkasah,"136 Siswa SMAN 1 Tunjungan Blora Diduga Keracunan MBG

Sebanyak 136 siswa SMAN 1 Tunjungan, Blora, diduga mengalami keracunan usai menyantap MBG yang disalurkan SPPG Sukorejo 2. Mereka mengalami lemas, diare, muntah, mual hingga pusing. (8/9/2026).

Satgas MBG Blora mengusulkan SPPG tersebut ditutup setelah kejadian serupa disebut telah terjadi tiga kali.

⏬️ Keracunan Berulang",11,10,KEYWORD_SEARCH,Root_Tweet,ᴷᵒˢⁱᵐ Matkasah ⁵⁵⁵,21902,in,5,1,1263,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/Kosimatkasah/status/2097293363682906264
2097590359987535897,2097590359987535897,2097590359987535897,,2026-09-09T07:38:07+00:00,SupirPete2,"Pak Wali @MayorofLondon, kami sebagai orang tua sungguh berterima kasih atas program MBG yg diselenggarakan pemerintahan bapak ini. 🥰🥰🥰 sungguh merasakan manfaatnya.",0,0,KEYWORD_SEARCH,Root_Tweet,Supet,239170,in,0,0,398,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/SupirPete2/status/2097590359987535897
2097589048735089090,2097589048735089090,2097589048735089090,,2026-09-09T07:32:55+00:00,pikiran_rakyat,"Ratusan Siswa Di Pati Di Dua Sekolah Diduga Keracunan MBG

Ratusan siswa di dua sekolah di Kecamatan Gembong, Pati, Jawa Tengah, diduga mengalami keracunan massal, Rabu (9/9). Sejumlah siswa mengeluhkan mual, muntah, pusing, hingga diare. 

Para siswa dilarikan ke Puskesmas Gembong, bahkan sebagian dirujuk ke RSUD Soewondo Pati karena kapasitas puskesmas melebihi daya tampung. Para siswa diduga mengalami keracunan setelah menyantap menu Makan Bergizi Gratis yang dibagikan sehari sebelumnya.

Sejumlah siswa mengeluhkan mual, muntah, pusing, hingga diare secara bersamaan. Ambulans pun silih berganti membawa siswa yang membutuhkan penanganan medis.

Hingga Rabu siang, tercatat setidaknya seratus dua puluh siswa dan dua puluh tujuh guru di MTs Negeri 3 Gembong mengalami gejala serupa. Sementara di salah satu SMP di Gembong, sekitar lima puluh siswa juga dilaporkan mengalami gejala keracunan. 

Karena kapasitas puskesmas terbatas, sebagian siswa kemudian dirujuk ke RSUD Soewondo Pati untuk mendapatkan penanganan lebih lanjut.

""Penanganan di puskesmas, yang ringan-ringan belum terdata, yang kecil-kecil. Ada 120 siswa dan 27 guru, yang terdata keracunan, dan ini masih proses,"" ujar Zaenal Arifin, Kepala MTs Negeri 3 Gembong, Pati

Dugaan keracunan mengarah pada menu Makan Bergizi Gratis yang dibagikan pada Selasa kemarin. Makanan tersebut disuplai oleh SPPG Gembong.

Para siswa mulai merasakan gejala pada Selasa sore, beberapa jam setelah mengonsumsi makanan. Kondisi kemudian memburuk pada Rabu pagi dan jumlah siswa yang mengalami gejala terus bertambah. Kesaksian siswa berinisial N dan R mengatakan bahwa mereka mulai mual dan pusing sejak kemarin.

""Setelah makan itu terasa mual dan pusing, terus diare. Itu dirasakan kemarin sore. Alhamdulillah hari ini sudah mulai baikan.""

Hingga saat ini, korban masih terus berdatangan ke Puskesmas Gembong dan RSUD Soewondo Pati untuk mendapatkan penanganan medis. Sementara itu, kasus dugaan keracunan massal ini masih dalam penyelidikan pihak kepolisian.

Teddy Wijanarko/PR Jateng",1,3,KEYWORD_SEARCH,Root_Tweet,Pikiran Rakyat,402512,in,0,0,525,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/pikiran_rakyat/status/2097589048735089090
2097586146662334661,2097586146662334661,2097586146662334661,,2026-09-09T07:21:23+00:00,Gust_Neg,"Televisi pintar.
IMO terasa ini melengkapi program MBG lalu Kopdes.
Tujuannya sepertinya jelas, tapi naif dan normatif.
Pelaksanaannya? Belum-belum sudah amburadul!
Kenapa? Managementnya buruk sekali.
Management apa? Hampir semuanya!
Akhirnya apa? Tujuannya tadi tidak tercapai.",1,1,KEYWORD_SEARCH,Root_Tweet,GustiNeg,3806,in,1,0,164,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/Gust_Neg/status/2097586146662334661
2097584993711411624,2097584993711411624,2097584993711411624,,2026-09-09T07:16:48+00:00,sosmedkeras,"Beredar sebuah postingan di Threads dari seorang penjual gorengan yang mengaku telah bertahun-tahun berjualan di tempat terbuka yang kerap dianggap kurang higienis. Meski begitu, ia mengatakan selama berjualan tidak pernah mendapat keluhan dari pelanggan, baik soal diare maupun keracunan.

Ia pun menyoroti maraknya kasus keracunan dalam program MBG. Menurutnya, cukup ironis ketika program yang disebut melibatkan pengawasan ahli gizi dan menggunakan dapur tertutup justru bisa menyebabkan ratusan siswa mengalami keracunan. Sementara itu, gorengan yang selama ini kerap dicap sebagai makanan ""kotor"" justru diklaimnya aman dan tidak pernah menimbulkan masalah bagi para pembeli.",10,3,KEYWORD_SEARCH,Root_Tweet,sosmed keras,5513391,in,5,1,6357,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/sosmedkeras/status/2097584993711411624
2097583733255885201,2097583733255885201,2097583733255885201,,2026-09-09T07:11:47+00:00,sonoffabrizio,"Di suatu hari yang cerah, Bapak Presiden berkata:

""Saudara-saudara, singkat saja. Program MBG dan KOPDES resmi saya stop!""",1,0,KEYWORD_SEARCH,Root_Tweet,lein,1776,in,1,0,31,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/sonoffabrizio/status/2097583733255885201
2097581331186417766,2097581331186417766,2097581331186417766,,2026-09-09T07:02:15+00:00,yiwoism,"tadi malem gw ngobrol ama emak gw soal program mbg, trs gw bilangin ke mak klo misalnya mbg buat adek gw kgk usah ditrima trs belio blg didom gw tuh udh ga diadain lg mbg, bersyukur bgt dh :) trs gw blg ke emak gw gpp dh gw kerja trs ngirimin ke kampung drpd hrs liat adek gw nrima mknn yg ga amanah:(",0,0,KEYWORD_SEARCH,Root_Tweet,bri,151,in,0,0,28,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/yiwoism/status/2097581331186417766
2097577131052331370,2097577131052331370,2097577131052331370,,2026-09-09T06:45:33+00:00,pikiran_rakyat,"Mesin Penyaji Nasi Otomatis di Kantin Sekolah China: Penyajian Cepat, Porsi Tepat, dan Higienis
.....

Anak-anak sekolah di China mulai menggunakan mesin penyaji nasi otomatis di kantin sekolah. Mesin itu dirancang untuk menjaga higienitas, menjaga suhu nasi tetap hangat di angka 65°C, serta memangkas antrean panjang saat jam makan di sekolah atau kafetaria.
.
Dalam penggunaannya siswa cukup meletakkan piring atau nampan pada bagian penampung bawah. Kemudian sensor akan memicu pengeluaran nasi hangat secara otomatis dalam waktu sekitar dua detik. Sistem gramasi pun dirancang dengan presisi untuk membagi porsi dengan pas, guna menekan angka limbah makanan di sekolah.
.
Sobat PR, menurut kalian teknologi pangan yang higienis dan terukur seperti ini apakah bisa diterapkan di program Makan Bergizi Gratis di Indonesia?
.
#China #MBG",0,0,KEYWORD_SEARCH,Root_Tweet,Pikiran Rakyat,402512,in,1,0,552,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/pikiran_rakyat/status/2097577131052331370
2097571512123343296,2097571512123343296,2097571512123343296,,2026-09-09T06:23:14+00:00,RA_leather,"📌IBU-IBU DI YOGYAKARTA PUKUL PANCI, TUNTUT MBG DIHENTIKAN!

Sekitar 100 ibu-ibu menggelar aksi protes sambil memukul panci. 

Mereka menuntut program MBG dihentikan, menyusul kekhawatiran atas kasus dugaan keracunan.

“Ribuan anak keracunan MBG, bahkan sampai berakibat fatal, bagaimana tidak tergerak hati saya?” ujar Etty, peserta aksi.",23,10,KEYWORD_SEARCH,Root_Tweet,RL,53362,in,5,0,735,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/RA_leather/status/2097571512123343296
2097570609475768795,2097570609475768795,2097570609475768795,,2026-09-09T06:19:38+00:00,tombrara,"Loh memang benar anak memang tidak bisa belajar optimal dalam keadaan lapar. Justru karena itu, program MBG punya relevansi langsung dengan pendidikan memastikan anak datang ke kelas dalam kondisi cukup makan dan siap menerima pelajaran.

Persoalannya bukan memilih MBG atau pendidikan karena keduanya saling menunjang. Pendidikan tanpa pemenuhan kebutuhan dasar juga tidak otomatis menghasilkan proses belajar yang optimal.

Kalau MBG dilaksanakan tepat sasaran, tidak terjadi korupsi atau kebocoran anggaran, bahan pangan yang diberikan masih fresh, kualitas gizinya terjaga, dan kebutuhan masing-masing anak diperhitungkan, maka program ini bukan pemborosan yang mengorbankan pendidikan. Ia justru merupakan bagian dari investasi pendidikan.

Yang harus dikritisi adalah efektivitas, pengawasan, kualitas makanan, ketepatan sasaran, dan transparansi anggarannya bukan menyederhanakan persoalan menjadi anggaran MBG seharusnya untuk pendidikan.
Anak yang lapar memang sulit berkonsentrasi. Tapi anak yang sudah diberi makan juga tetap membutuhkan guru yang berkualitas, sekolah yang layak, fasilitas yang memadai, dan pendidikan yang baik. Jadi solusinya bukan mempertentangkan kebutuhan dasar dengan pendidikan, melainkan memastikan keduanya berjalan dengan anggaran yang dikelola secara bertanggung jawab.

Jangan jadikan “pendidikan vs MBG” sebagai pilihan palsu. Anak membutuhkan otak yang diberi gizi untuk belajar, sekaligus sistem pendidikan yang membuat proses belajarnya bermakna. Yang perlu dibuang adalah kebocoran anggarannya, bukan makanannya.

Tumben otak rockger gajalan, biasanya paling vocal soal dungu 🙄🙄",2,1,KEYWORD_SEARCH,Root_Tweet,Barbie🤎,3011,in,0,0,316,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/tombrara/status/2097570609475768795
2097527802287513936,2097527802287513936,2097527802287513936,,2026-09-09T03:29:32+00:00,LambeSahamjja,"rokcy gerung dukung penuh program MBG:
- fungsi mbg itu memberi gizi ke otak anak
- yang minta dibatalkan bilang anggarannya harusnya untuk pendidikan
- menurut dia tidak ada bedanya
- karena anak tanpa gizi diajari apa pun akan tumpul
- gizi penting supaya jumlah neuron di lobus frontal tidak berkurang di masa emas anak
- dia singgung putusan mk yang memisahkan anggaran mbg dari anggaran pendidikan
- pertanyaannya dia
- kalau anak masuk kelas dengan perut lapar dan otak kurang protein, bagaimana iq-nya tumbuh",1061,121,KEYWORD_SEARCH,Root_Tweet,Lambe Saham,82023,in,953,494,161693,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/LambeSahamjja/status/2097527802287513936
2097567980209254528,2097567980209254528,2097567980209254528,,2026-09-09T06:09:12+00:00,kusukadksoo,"Ngurus orang miskin mah mending buka lapangan pekerjaan tuh kasih mereka kerja, masa solusinya dari makan siang gratis doang? Makan pagi dan malamnya gak usah?? Ogeb",0,0,KEYWORD_SEARCH,Root_Tweet,핑 🌸,119,in,0,0,45,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/kusukadksoo/status/2097567980209254528
2097566718348722494,2097566718348722494,2097566718348722494,,2026-09-09T06:04:11+00:00,officialfgmedia,"KPPG Medan membantah bahwa siswi SMK di Berastagi Sumut, Febiola Purba mengalami hilang ingatan akibat keracunan Makan Bergizi Gratis (MBG). 

Mereka menyebut Febiola dalam kondisi normal dan hanya membutuhkan waktu untuk pemulihan.

Namun, menurut keluarga, kondisi Febiola terus menurun usai keracunan MBG. Ia kemudian mengalami gangguan ingatan setiap kali mengalami kejang.

Gimana menurut kalian?

#Berastagi #SumatraUtara #KPPG #MBG #MakanBergiziGratis",1,0,KEYWORD_SEARCH,Root_Tweet,FG Media Official,523,in,1,0,40,"""makan bergizi gratis"" OR ""program mbg"" OR ""makan siang gratis""[Latest]",https://x.com/officialfgmedia/status/2097566718348722494
